,Y3defect,prob of NO,prob of YES
0,1,0.4,0.6
1,0,0.733333333333,0.266666666667
2,0,0.6,0.4
3,1,0.4,0.6
4,1,0.333333333333,0.666666666667
5,1,0.333333333333,0.666666666667
6,0,0.533333333333,0.466666666667
7,1,0.266666666667,0.733333333333
8,1,0.266666666667,0.733333333333
9,0,0.733333333333,0.266666666667
10,0,0.6,0.4
11,0,0.6,0.4
12,1,0.266666666667,0.733333333333
13,0,0.533333333333,0.466666666667
14,1,0.333333333333,0.666666666667
15,1,0.2,0.8
16,1,0.333333333333,0.666666666667
17,0,0.733333333333,0.266666666667
18,0,0.8,0.2
19,0,0.666666666667,0.333333333333
20,1,0.466666666667,0.533333333333
21,1,0.466666666667,0.533333333333
22,1,0.466666666667,0.533333333333
23,1,0.0,1.0
24,0,0.666666666667,0.333333333333
25,1,0.333333333333,0.666666666667
26,0,0.6,0.4
27,0,0.8,0.2
28,1,0.466666666667,0.533333333333
29,0,0.533333333333,0.466666666667
30,1,0.466666666667,0.533333333333
31,1,0.4,0.6
32,0,0.6,0.4
33,0,0.533333333333,0.466666666667
34,0,0.733333333333,0.266666666667
35,1,0.2,0.8
36,1,0.333333333333,0.666666666667
37,1,0.4,0.6
38,1,0.266666666667,0.733333333333
39,0,0.6,0.4
40,1,0.133333333333,0.866666666667
41,1,0.466666666667,0.533333333333
42,1,0.466666666667,0.533333333333
43,0,0.6,0.4
44,1,0.4,0.6
45,1,0.466666666667,0.533333333333
46,1,0.266666666667,0.733333333333
47,1,0.333333333333,0.666666666667
48,0,0.533333333333,0.466666666667
49,1,0.4,0.6
50,0,0.666666666667,0.333333333333
51,0,0.866666666667,0.133333333333
52,0,0.533333333333,0.466666666667
53,1,0.333333333333,0.666666666667
54,1,0.466666666667,0.533333333333
55,0,0.6,0.4
56,1,0.266666666667,0.733333333333
57,0,0.6,0.4
58,1,0.466666666667,0.533333333333
59,0,0.8,0.2
60,0,0.6,0.4
61,1,0.466666666667,0.533333333333
62,0,0.666666666667,0.333333333333
63,1,0.333333333333,0.666666666667
64,0,0.866666666667,0.133333333333
65,1,0.4,0.6
66,1,0.466666666667,0.533333333333
67,1,0.4,0.6
68,0,0.666666666667,0.333333333333
69,0,0.666666666667,0.333333333333
70,0,0.8,0.2
71,1,0.466666666667,0.533333333333
72,0,0.666666666667,0.333333333333
73,0,0.733333333333,0.266666666667
74,0,0.6,0.4
75,0,0.733333333333,0.266666666667
76,1,0.2,0.8
77,0,0.733333333333,0.266666666667
78,0,0.733333333333,0.266666666667
79,1,0.266666666667,0.733333333333
80,0,0.533333333333,0.466666666667
81,0,0.866666666667,0.133333333333
